checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment,installment_rate,sex,other_debtors,residence_since,property,age,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
no_checking,12,delayed,business,1247,unknown,4_to_7yr,4,male,none,4,unknown,32,none,own,2,skilled,2,no,yes,good
0_to_200,36,existing_paid,other,2278,500_to_1000,>7yr,4,male,none,4,car,55,none,own,2,unskilled_res,1,no,yes,good
no_checking,24,critical,radio_tv,1455,<100,>7yr,1,female,guarantor,4,unknown,24,none,own,1,skilled,1,yes,yes,good
0_to_200,24,existing_paid,radio_tv,1820,<100,1_to_4yr,1,male,none,3,savings_insurance,29,none,own,1,unskilled_res,1,no,yes,bad
no_checking,48,delayed,car_new,1348,<100,<1yr,2,female,none,3,car,25,none,own,1,highly_skilled,1,no,yes,good
0_to_200,48,existing_paid,car_new,1559,unknown,4_to_7yr,4,male,none,1,real_estate,51,stores,own,2,skilled,1,yes,yes,good
0_to_200,60,existing_paid,car_new,2188,<100,1_to_4yr,1,male,none,4,car,46,bank,own,1,skilled,1,no,yes,good
<0,18,existing_paid,car_new,739,100_to_500,1_to_4yr,4,male,none,3,real_estate,36,stores,own,1,skilled,2,yes,yes,good
0_to_200,36,delayed,car_used,724,unknown,1_to_4yr,1,male,none,2,real_estate,28,bank,own,2,skilled,1,no,no,bad
no_checking,18,existing_paid,car_used,518,<100,1_to_4yr,3,male,none,3,unknown,43,none,own,1,skilled,1,yes,yes,good
>200,12,existing_paid,furniture,428,unknown,1_to_4yr,3,male,none,2,car,40,bank,free,2,highly_skilled,1,no,yes,good
0_to_200,12,delayed,furniture,604,<100,>7yr,4,female,none,3,unknown,33,none,rent,1,unskilled_res,1,yes,yes,bad
0_to_200,18,existing_paid,car_new,2087,<100,1_to_4yr,2,male,none,3,savings_insurance,42,none,own,1,highly_skilled,1,yes,no,good
<0,24,existing_paid,car_new,809,100_to_500,>7yr,3,female,none,3,savings_insurance,39,bank,own,2,skilled,1,yes,yes,bad
no_checking,48,existing_paid,radio_tv,2870,>1000,1_to_4yr,2,male,guarantor,4,savings_insurance,30,none,free,1,skilled,1,yes,yes,good
0_to_200,12,critical,radio_tv,1865,<100,1_to_4yr,4,female,none,2,car,19,none,own,1,skilled,1,no,yes,good
no_checking,36,critical,furniture,307,<100,>7yr,4,male,none,3,car,38,stores,own,2,skilled,1,yes,yes,good
<0,24,no_credits,radio_tv,3259,500_to_1000,1_to_4yr,1,male,none,3,unknown,58,none,own,1,highly_skilled,1,no,yes,good
no_checking,18,existing_paid,education,3750,<100,<1yr,4,male,none,3,real_estate,28,bank,own,4,skilled,1,yes,yes,good
0_to_200,24,existing_paid,furniture,739,<100,4_to_7yr,3,male,none,4,car,55,stores,own,4,skilled,1,no,yes,good
no_checking,18,existing_paid,radio_tv,2639,<100,1_to_4yr,1,female,none,3,savings_insurance,31,none,own,1,unskilled_res,1,no,yes,bad
no_checking,24,critical,other,836,500_to_1000,>7yr,3,male,none,3,real_estate,28,none,own,1,unskilled_res,2,no,yes,good
<0,24,existing_paid,education,1974,<100,1_to_4yr,2,male,none,2,car,30,none,own,2,skilled,1,no,yes,bad
0_to_200,12,critical,furniture,579,<100,4_to_7yr,4,male,none,4,savings_insurance,32,bank,own,1,skilled,1,no,yes,good
<0,12,existing_paid,radio_tv,360,<100,<1yr,4,male,none,3,real_estate,40,none,own,1,skilled,1,no,yes,good
no_checking,24,existing_paid,car_new,1281,unknown,1_to_4yr,1,female,none,4,real_estate,33,none,own,2,unskilled_res,1,yes,yes,bad
no_checking,60,all_paid,radio_tv,1617,<100,>7yr,3,female,none,1,savings_insurance,35,stores,own,1,skilled,1,no,yes,good
0_to_200,18,existing_paid,other,1264,<100,>7yr,4,female,none,2,savings_insurance,46,none,rent,3,skilled,2,no,yes,good
>200,36,critical,radio_tv,622,unknown,<1yr,4,male,co-applicant,3,savings_insurance,59,none,own,1,skilled,1,yes,yes,good
0_to_200,36,existing_paid,business,1261,unknown,1_to_4yr,3,male,none,4,real_estate,55,bank,own,1,highly_skilled,1,no,yes,good
<0,60,critical,furniture,2303,unknown,1_to_4yr,4,female,none,3,real_estate,34,none,own,1,skilled,1,yes,yes,good
0_to_200,48,critical,other,1736,<100,4_to_7yr,3,male,none,4,unknown,36,none,own,3,unskilled_res,1,no,yes,good
<0,24,critical,radio_tv,2130,100_to_500,>7yr,3,female,none,3,unknown,45,none,own,2,highly_skilled,1,no,yes,bad
<0,36,existing_paid,car_new,989,>1000,4_to_7yr,4,female,none,3,savings_insurance,35,none,own,2,skilled,1,no,yes,bad
<0,48,critical,radio_tv,5190,<100,1_to_4yr,3,female,none,2,unknown,28,none,rent,1,skilled,2,no,yes,bad
<0,24,existing_paid,car_used,627,<100,>7yr,3,male,none,4,car,33,stores,own,1,unskilled_res,2,no,yes,good
0_to_200,18,all_paid,car_new,2804,500_to_1000,1_to_4yr,3,male,none,2,real_estate,19,stores,rent,1,skilled,1,no,yes,bad
<0,6,existing_paid,education,5238,unknown,<1yr,4,female,none,4,real_estate,37,none,own,1,skilled,1,no,yes,good
no_checking,48,critical,car_used,2787,<100,1_to_4yr,4,male,none,4,unknown,43,none,rent,1,skilled,1,yes,yes,good
no_checking,48,critical,education,1506,<100,>7yr,3,male,none,4,car,30,none,free,2,unskilled_nonres,2,no,yes,good
no_checking,12,existing_paid,car_used,1123,unknown,>7yr,2,male,none,3,car,53,none,rent,1,unskilled_res,2,no,yes,good
<0,24,existing_paid,car_new,4593,100_to_500,4_to_7yr,3,female,none,3,unknown,36,none,own,3,unskilled_res,1,yes,yes,good
no_checking,24,critical,other,502,100_to_500,4_to_7yr,3,female,guarantor,4,savings_insurance,27,none,own,1,skilled,1,yes,yes,good
no_checking,12,existing_paid,furniture,755,unknown,>7yr,2,male,none,2,real_estate,38,none,free,3,unskilled_res,1,no,yes,good
<0,72,existing_paid,radio_tv,1264,unknown,1_to_4yr,4,male,none,3,real_estate,47,none,rent,1,skilled,1,no,yes,good
0_to_200,12,existing_paid,radio_tv,5507,unknown,1_to_4yr,3,male,none,1,real_estate,54,none,rent,1,unskilled_res,1,no,yes,good
0_to_200,12,no_credits,radio_tv,2544,<100,>7yr,2,female,none,3,real_estate,28,none,own,1,skilled,1,yes,yes,good
<0,24,existing_paid,business,756,<100,>7yr,1,male,none,2,savings_insurance,47,none,free,1,unskilled_res,1,yes,yes,good
0_to_200,36,existing_paid,radio_tv,1367,<100,1_to_4yr,2,male,none,2,real_estate,35,none,own,1,highly_skilled,1,no,yes,good
>200,6,delayed,furniture,1040,<100,1_to_4yr,4,female,none,3,real_estate,24,none,own,1,highly_skilled,2,yes,yes,good
0_to_200,36,existing_paid,business,954,500_to_1000,1_to_4yr,2,female,co-applicant,3,savings_insurance,44,stores,own,1,skilled,1,yes,yes,good
<0,24,existing_paid,car_new,4363,<100,<1yr,2,female,none,3,savings_insurance,33,none,own,2,skilled,1,yes,yes,bad
no_checking,12,delayed,radio_tv,526,unknown,>7yr,3,female,none,1,savings_insurance,32,none,rent,2,unskilled_res,1,yes,yes,bad
>200,12,existing_paid,other,7691,<100,1_to_4yr,2,male,none,3,savings_insurance,52,none,own,2,highly_skilled,1,yes,yes,bad
no_checking,24,critical,radio_tv,3810,<100,>7yr,1,male,none,2,car,51,none,own,1,skilled,1,yes,yes,good
no_checking,18,critical,education,4826,<100,<1yr,2,female,none,3,unknown,41,stores,own,2,unskilled_res,1,yes,yes,good
<0,60,existing_paid,radio_tv,1191,<100,1_to_4yr,3,female,none,3,real_estate,24,none,own,1,skilled,1,no,yes,good
no_checking,48,existing_paid,education,1579,unknown,unemployed,3,female,none,3,real_estate,26,none,own,1,unskilled_res,1,yes,yes,bad
>200,72,all_paid,retraining,497,100_to_500,>7yr,3,female,none,4,car,29,none,own,1,skilled,1,no,yes,good
<0,18,existing_paid,car_used,1127,>1000,4_to_7yr,3,male,none,2,savings_insurance,29,none,own,1,skilled,1,no,yes,good
<0,60,existing_paid,car_new,2819,<100,4_to_7yr,4,male,none,4,car,28,none,free,1,skilled,1,no,yes,good
<0,24,critical,furniture,5804,<100,unemployed,3,female,none,3,real_estate,28,none,rent,1,skilled,1,yes,yes,good
<0,18,all_paid,radio_tv,667,<100,<1yr,2,male,co-applicant,3,car,48,none,own,1,unskilled_res,1,no,yes,bad
no_checking,12,existing_paid,car_new,1301,<100,<1yr,2,female,none,3,unknown,35,bank,own,2,skilled,1,yes,yes,bad
<0,12,existing_paid,car_new,1577,<100,1_to_4yr,3,female,none,1,car,34,none,own,2,unskilled_res,1,yes,yes,bad
0_to_200,36,existing_paid,furniture,514,500_to_1000,4_to_7yr,4,female,none,3,real_estate,41,stores,free,3,skilled,1,no,yes,good
<0,24,critical,other,3078,<100,1_to_4yr,2,male,none,3,unknown,19,bank,own,2,unskilled_res,2,no,yes,bad
0_to_200,12,existing_paid,radio_tv,942,<100,4_to_7yr,4,male,none,2,car,48,none,own,1,skilled,1,no,yes,good
no_checking,24,no_credits,furniture,1516,<100,1_to_4yr,1,male,none,1,car,19,none,own,3,skilled,1,no,yes,bad
no_checking,18,critical,car_new,1203,>1000,1_to_4yr,3,male,guarantor,1,real_estate,32,none,rent,2,skilled,1,no,yes,good
no_checking,24,existing_paid,furniture,888,100_to_500,1_to_4yr,4,male,none,4,car,23,none,own,1,skilled,1,yes,yes,good
no_checking,24,no_credits,car_new,1796,unknown,<1yr,2,male,none,3,real_estate,21,none,own,1,skilled,1,yes,yes,good
0_to_200,48,delayed,car_new,1489,<100,>7yr,3,male,none,2,real_estate,48,none,rent,4,skilled,1,no,yes,good
0_to_200,48,existing_paid,business,1293,<100,4_to_7yr,2,male,none,3,car,30,none,own,1,skilled,1,no,yes,bad
no_checking,24,all_paid,other,938,<100,<1yr,4,male,none,3,real_estate,39,none,free,3,skilled,2,yes,yes,bad
<0,24,existing_paid,car_new,2410,<100,<1yr,1,male,none,4,car,35,none,own,1,skilled,1,no,yes,good
0_to_200,24,critical,car_new,8008,100_to_500,>7yr,4,male,guarantor,1,car,41,none,rent,1,skilled,1,yes,yes,good
no_checking,48,delayed,car_used,2050,<100,4_to_7yr,2,female,none,2,real_estate,33,none,own,1,skilled,2,no,yes,good
no_checking,18,critical,furniture,4431,>1000,4_to_7yr,4,male,none,4,car,21,stores,rent,1,unskilled_res,1,no,yes,bad
>200,12,existing_paid,car_new,517,<100,1_to_4yr,3,male,none,1,unknown,46,none,own,2,skilled,1,no,yes,good
<0,12,existing_paid,car_used,2083,100_to_500,1_to_4yr,4,male,none,2,real_estate,30,bank,free,4,unskilled_res,1,yes,yes,good
>200,24,existing_paid,car_new,673,<100,>7yr,2,female,none,4,car,39,none,own,1,unskilled_res,1,no,yes,good
no_checking,24,delayed,radio_tv,478,<100,>7yr,4,male,none,3,savings_insurance,31,none,own,1,skilled,1,no,yes,good
0_to_200,48,critical,radio_tv,929,<100,1_to_4yr,1,male,none,2,savings_insurance,52,none,free,2,highly_skilled,1,yes,yes,good
no_checking,12,existing_paid,radio_tv,5285,unknown,>7yr,2,male,none,1,savings_insurance,45,bank,own,2,highly_skilled,1,yes,yes,good
no_checking,24,existing_paid,furniture,4251,100_to_500,>7yr,3,male,none,1,savings_insurance,32,none,own,1,unskilled_res,1,no,yes,good
<0,48,all_paid,business,2250,<100,1_to_4yr,1,male,none,2,real_estate,32,none,own,1,skilled,1,no,yes,bad
no_checking,48,existing_paid,other,455,<100,1_to_4yr,2,male,none,4,unknown,32,none,free,2,skilled,1,yes,yes,good
no_checking,24,existing_paid,car_new,1515,<100,<1yr,4,male,none,3,car,58,none,own,2,unskilled_res,1,no,yes,good
no_checking,24,existing_paid,car_new,2372,<100,<1yr,4,female,none,4,savings_insurance,27,none,rent,1,skilled,2,no,yes,good
no_checking,18,existing_paid,radio_tv,2117,<100,4_to_7yr,3,female,none,4,savings_insurance,20,none,own,1,skilled,1,yes,yes,good
0_to_200,60,existing_paid,car_new,343,unknown,1_to_4yr,4,male,none,3,car,47,none,own,4,highly_skilled,1,no,yes,good
<0,12,all_paid,furniture,811,<100,>7yr,3,male,none,2,savings_insurance,38,none,own,2,unskilled_nonres,1,yes,yes,bad
no_checking,60,existing_paid,radio_tv,1706,<100,>7yr,2,female,none,3,savings_insurance,28,none,own,1,unskilled_res,1,yes,yes,bad
no_checking,36,existing_paid,radio_tv,2929,100_to_500,<1yr,4,male,none,4,savings_insurance,33,none,own,1,skilled,1,yes,no,bad
no_checking,24,critical,furniture,250,500_to_1000,1_to_4yr,4,male,none,4,real_estate,35,none,own,2,skilled,1,no,yes,bad
<0,6,delayed,radio_tv,1562,<100,>7yr,4,male,co-applicant,1,real_estate,35,none,own,1,highly_skilled,2,no,yes,good
no_checking,24,existing_paid,other,2056,<100,>7yr,2,male,none,3,car,44,bank,rent,1,unskilled_res,2,yes,no,good
0_to_200,24,critical,car_new,3884,<100,>7yr,4,female,none,3,car,21,none,own,1,skilled,2,no,yes,good
no_checking,12,critical,radio_tv,3373,<100,1_to_4yr,1,female,none,4,real_estate,43,none,own,1,skilled,2,no,yes,bad
no_checking,36,existing_paid,car_new,3054,<100,1_to_4yr,1,female,guarantor,2,real_estate,32,none,own,2,unskilled_res,1,yes,yes,bad
0_to_200,72,critical,car_new,880,<100,4_to_7yr,1,male,none,3,real_estate,36,none,own,1,skilled,1,no,yes,good
0_to_200,24,existing_paid,radio_tv,324,<100,>7yr,4,male,none,4,unknown,19,none,own,2,skilled,2,no,yes,good
no_checking,36,existing_paid,car_new,1269,unknown,1_to_4yr,4,male,none,3,car,46,none,own,1,unskilled_res,1,no,yes,good
0_to_200,12,existing_paid,car_new,4453,<100,>7yr,4,male,none,3,car,39,stores,free,1,skilled,2,no,yes,good
<0,24,critical,car_new,6336,100_to_500,1_to_4yr,3,male,none,1,unknown,46,none,own,1,skilled,1,yes,yes,bad
0_to_200,12,delayed,radio_tv,3427,<100,>7yr,2,female,guarantor,2,savings_insurance,23,bank,own,3,skilled,1,no,no,good
<0,24,existing_paid,radio_tv,2660,<100,4_to_7yr,2,male,none,2,unknown,58,none,own,2,highly_skilled,1,yes,yes,bad
0_to_200,60,existing_paid,car_new,2544,100_to_500,1_to_4yr,2,male,none,4,savings_insurance,34,none,own,1,skilled,2,no,yes,good
>200,36,existing_paid,radio_tv,1096,<100,4_to_7yr,3,female,none,2,real_estate,21,none,own,2,skilled,1,no,yes,bad
no_checking,12,critical,car_new,1608,<100,1_to_4yr,4,female,none,3,car,49,bank,own,2,highly_skilled,1,yes,yes,bad
<0,24,existing_paid,radio_tv,8120,<100,1_to_4yr,3,male,none,3,savings_insurance,42,none,own,4,highly_skilled,1,no,yes,bad
<0,24,critical,furniture,774,<100,<1yr,1,male,none,2,car,24,none,own,1,unskilled_res,1,no,yes,good
no_checking,24,no_credits,radio_tv,7733,<100,<1yr,1,male,none,3,savings_insurance,29,bank,own,2,skilled,1,no,yes,good
no_checking,48,no_credits,other,1353,unknown,1_to_4yr,1,male,none,4,car,57,bank,own,1,unskilled_res,1,yes,yes,good
no_checking,48,existing_paid,business,5960,<100,>7yr,3,male,none,4,real_estate,33,none,own,1,unskilled_res,1,no,yes,good
<0,24,existing_paid,car_new,509,500_to_1000,4_to_7yr,4,female,none,3,real_estate,31,stores,own,3,skilled,1,no,yes,bad
<0,24,existing_paid,business,3063,<100,<1yr,3,male,none,3,unknown,45,none,own,1,skilled,1,yes,yes,bad
<0,18,existing_paid,car_new,931,>1000,>7yr,4,male,none,2,unknown,41,none,own,1,skilled,1,yes,yes,good
no_checking,12,existing_paid,other,505,<100,4_to_7yr,3,male,none,4,unknown,37,none,own,1,skilled,1,no,yes,good
<0,24,no_credits,car_used,2201,>1000,>7yr,3,male,none,2,car,40,stores,own,2,highly_skilled,1,yes,yes,good
0_to_200,24,existing_paid,furniture,4485,<100,4_to_7yr,1,female,none,4,car,30,none,own,2,skilled,2,yes,yes,bad
<0,36,existing_paid,car_new,845,<100,<1yr,4,female,none,2,car,23,none,own,1,skilled,1,no,yes,bad
<0,36,existing_paid,car_new,469,unknown,1_to_4yr,4,male,none,4,real_estate,38,none,own,3,skilled,1,no,no,good
0_to_200,12,existing_paid,radio_tv,1664,<100,4_to_7yr,2,male,none,4,real_estate,47,none,own,1,highly_skilled,1,no,yes,good
0_to_200,24,existing_paid,retraining,1671,<100,unemployed,3,male,none,4,savings_insurance,48,none,own,1,skilled,1,yes,yes,bad
<0,12,critical,radio_tv,2961,<100,unemployed,3,male,none,2,unknown,49,stores,own,3,skilled,1,no,yes,good
0_to_200,12,existing_paid,radio_tv,4249,100_to_500,<1yr,3,male,none,3,real_estate,43,none,own,1,highly_skilled,1,no,yes,good
<0,48,critical,radio_tv,1713,100_to_500,1_to_4yr,4,male,none,3,unknown,23,none,own,1,unskilled_res,1,yes,yes,bad
0_to_200,6,existing_paid,car_used,9604,unknown,1_to_4yr,3,male,none,4,car,53,bank,own,1,skilled,1,no,yes,bad
no_checking,24,existing_paid,car_new,2212,<100,1_to_4yr,3,male,none,2,car,23,bank,rent,2,highly_skilled,1,no,yes,good
no_checking,12,no_credits,car_new,1323,<100,<1yr,1,male,none,4,real_estate,39,stores,own,1,highly_skilled,1,no,no,good
no_checking,48,existing_paid,furniture,423,<100,4_to_7yr,1,male,none,4,real_estate,27,none,own,3,unskilled_res,1,no,yes,good
0_to_200,24,existing_paid,car_used,1427,100_to_500,4_to_7yr,2,male,none,2,unknown,35,none,free,2,skilled,1,yes,no,good
<0,12,delayed,car_new,1335,<100,1_to_4yr,1,male,none,4,real_estate,39,stores,rent,1,skilled,1,no,yes,good
no_checking,24,existing_paid,car_new,4290,>1000,unemployed,4,male,none,3,savings_insurance,39,none,rent,2,skilled,2,no,yes,good
no_checking,36,existing_paid,car_new,2741,unknown,<1yr,4,female,none,3,real_estate,33,none,own,1,skilled,1,no,yes,good
0_to_200,60,existing_paid,business,625,<100,1_to_4yr,1,male,none,2,real_estate,53,none,rent,1,skilled,1,no,yes,good
0_to_200,12,delayed,car_new,2111,<100,<1yr,4,male,none,3,real_estate,40,none,own,2,skilled,1,yes,yes,good
<0,48,existing_paid,radio_tv,3308,<100,1_to_4yr,2,male,none,4,car,33,none,own,3,skilled,2,yes,yes,good
<0,60,existing_paid,radio_tv,7152,<100,4_to_7yr,2,male,none,3,savings_insurance,46,none,own,1,skilled,1,yes,yes,good
<0,60,existing_paid,radio_tv,4018,100_to_500,1_to_4yr,2,male,none,3,car,49,none,free,1,skilled,1,no,yes,good
<0,24,all_paid,car_new,3585,<100,1_to_4yr,3,male,none,3,real_estate,22,none,own,1,skilled,1,yes,yes,good
0_to_200,24,existing_paid,car_used,1908,<100,1_to_4yr,2,female,none,4,car,20,none,own,1,skilled,2,no,yes,good
no_checking,24,no_credits,car_new,2564,<100,4_to_7yr,3,male,none,1,car,43,none,own,1,unskilled_res,1,yes,yes,bad
<0,36,existing_paid,furniture,5566,unknown,>7yr,3,male,guarantor,4,real_estate,32,none,own,1,unskilled_res,2,no,yes,good
no_checking,24,no_credits,car_new,544,<100,>7yr,4,male,none,3,savings_insurance,51,none,rent,2,unskilled_res,1,yes,yes,bad
<0,36,existing_paid,radio_tv,1320,<100,1_to_4yr,1,male,none,2,real_estate,34,none,own,1,skilled,1,no,yes,good
<0,24,critical,radio_tv,902,unknown,1_to_4yr,1,male,none,2,car,37,none,own,1,skilled,1,no,yes,good
<0,36,existing_paid,radio_tv,2543,100_to_500,1_to_4yr,1,female,none,3,car,30,none,free,2,unskilled_res,1,no,yes,good
no_checking,48,critical,furniture,5470,<100,>7yr,3,male,co-applicant,4,unknown,36,bank,own,2,unskilled_res,2,no,yes,good
<0,12,critical,furniture,1056,>1000,unemployed,1,female,none,3,real_estate,19,bank,own,1,skilled,1,yes,yes,bad
no_checking,48,critical,business,250,<100,>7yr,4,female,none,4,savings_insurance,24,stores,free,1,skilled,1,yes,yes,bad
no_checking,24,critical,car_new,1247,>1000,4_to_7yr,3,male,none,1,real_estate,53,none,rent,2,highly_skilled,1,no,yes,bad
no_checking,48,existing_paid,radio_tv,4113,<100,4_to_7yr,3,male,co-applicant,3,savings_insurance,26,bank,rent,1,skilled,1,no,yes,good
0_to_200,24,existing_paid,radio_tv,2933,<100,unemployed,3,male,none,4,car,25,none,own,1,skilled,1,yes,yes,good
<0,24,delayed,furniture,2658,>1000,4_to_7yr,2,male,none,4,real_estate,19,bank,own,2,skilled,1,no,yes,good
<0,60,existing_paid,car_used,1405,<100,1_to_4yr,2,male,none,2,car,28,none,own,1,skilled,1,no,yes,good
0_to_200,18,existing_paid,furniture,571,unknown,<1yr,2,male,none,3,car,21,stores,own,1,unskilled_res,1,yes,yes,good
0_to_200,48,no_credits,car_new,2874,<100,1_to_4yr,3,male,none,2,car,54,none,own,1,unskilled_res,1,yes,yes,bad
<0,24,existing_paid,car_new,853,500_to_1000,>7yr,2,male,none,3,real_estate,47,none,own,1,unskilled_res,1,no,yes,bad
no_checking,24,existing_paid,car_new,12909,100_to_500,1_to_4yr,1,female,none,4,unknown,29,none,rent,1,skilled,1,yes,yes,good
no_checking,18,delayed,car_new,3021,<100,1_to_4yr,4,male,none,4,unknown,60,none,own,4,skilled,1,yes,yes,good
<0,24,critical,furniture,1072,<100,<1yr,1,female,none,2,unknown,45,none,own,1,unskilled_nonres,1,yes,yes,good
<0,18,critical,business,1042,>1000,4_to_7yr,4,male,none,4,car,32,stores,own,1,skilled,1,yes,yes,good
0_to_200,6,existing_paid,car_used,1662,unknown,4_to_7yr,4,male,none,3,car,19,stores,own,1,skilled,1,no,yes,good
0_to_200,18,no_credits,business,1457,<100,4_to_7yr,2,female,none,3,car,35,stores,rent,3,skilled,1,yes,yes,bad
no_checking,6,critical,other,4940,<100,1_to_4yr,1,male,none,3,real_estate,20,none,own,1,unskilled_res,2,yes,yes,good
no_checking,72,critical,other,2138,<100,1_to_4yr,1,female,co-applicant,3,car,44,bank,own,1,skilled,1,no,yes,bad
<0,60,critical,education,935,<100,4_to_7yr,4,female,none,3,car,48,bank,own,3,highly_skilled,2,yes,yes,good
no_checking,24,existing_paid,furniture,9910,unknown,1_to_4yr,3,female,none,3,unknown,22,none,own,1,unskilled_res,1,yes,yes,good
no_checking,36,delayed,car_new,1890,<100,>7yr,4,male,none,3,car,51,none,own,1,skilled,2,no,yes,bad
0_to_200,18,existing_paid,radio_tv,3611,<100,4_to_7yr,4,male,none,2,real_estate,42,none,free,1,skilled,1,no,yes,good
no_checking,36,critical,radio_tv,1045,unknown,1_to_4yr,4,female,none,4,car,30,none,own,1,skilled,1,no,yes,bad
0_to_200,48,existing_paid,business,2506,<100,1_to_4yr,2,female,none,3,unknown,37,none,own,1,skilled,1,yes,yes,good
0_to_200,60,critical,other,2392,100_to_500,>7yr,2,female,none,2,real_estate,42,none,own,2,skilled,1,no,yes,bad
0_to_200,24,existing_paid,furniture,330,<100,<1yr,4,male,none,4,savings_insurance,39,bank,free,1,highly_skilled,2,no,yes,good
no_checking,36,critical,furniture,11089,<100,1_to_4yr,2,male,none,4,car,37,none,free,1,unskilled_res,1,no,yes,good
no_checking,18,existing_paid,car_new,5776,>1000,4_to_7yr,1,female,none,4,real_estate,34,none,own,1,skilled,1,yes,yes,bad
<0,72,existing_paid,car_new,1264,<100,1_to_4yr,4,male,none,3,real_estate,27,bank,own,1,skilled,2,yes,yes,bad
no_checking,6,existing_paid,furniture,670,<100,>7yr,3,female,none,2,savings_insurance,53,none,rent,1,skilled,1,no,yes,bad
no_checking,24,existing_paid,radio_tv,2472,<100,<1yr,4,female,guarantor,3,car,19,none,free,3,skilled,1,no,yes,good
no_checking,36,existing_paid,education,1954,<100,>7yr,4,male,none,2,real_estate,34,stores,free,1,unskilled_res,1,no,yes,bad
no_checking,36,critical,furniture,2490,500_to_1000,<1yr,1,female,none,4,savings_insurance,53,none,free,2,skilled,2,yes,yes,bad
no_checking,12,existing_paid,business,2148,500_to_1000,unemployed,4,female,none,2,car,33,none,own,1,skilled,1,yes,yes,good
0_to_200,60,existing_paid,radio_tv,2851,<100,>7yr,2,male,none,2,unknown,37,none,own,1,skilled,1,no,yes,bad
no_checking,12,existing_paid,business,6651,<100,4_to_7yr,2,female,none,3,unknown,29,none,rent,1,skilled,1,no,yes,good
no_checking,24,existing_paid,car_new,3014,unknown,1_to_4yr,3,male,none,3,savings_insurance,46,none,rent,1,unskilled_res,1,yes,yes,good
<0,12,existing_paid,business,702,<100,1_to_4yr,1,female,none,4,unknown,46,stores,own,1,unskilled_res,1,yes,yes,good
>200,18,existing_paid,radio_tv,6162,unknown,4_to_7yr,3,male,none,3,real_estate,25,stores,own,1,highly_skilled,2,no,yes,bad
no_checking,24,critical,car_new,7915,<100,1_to_4yr,1,female,none,2,car,48,bank,rent,2,skilled,2,no,yes,good
no_checking,24,existing_paid,car_new,18424,<100,>7yr,3,male,none,2,car,25,none,own,1,highly_skilled,1,no,yes,good
<0,12,critical,business,657,unknown,>7yr,3,male,none,3,real_estate,33,none,rent,1,unskilled_res,1,no,yes,good
0_to_200,12,existing_paid,car_new,2249,100_to_500,4_to_7yr,4,female,none,2,savings_insurance,28,none,own,1,skilled,1,no,yes,good
0_to_200,24,existing_paid,furniture,277,<100,1_to_4yr,4,male,none,3,real_estate,25,none,own,1,skilled,1,yes,yes,good
<0,36,critical,car_used,2974,<100,1_to_4yr,2,male,none,3,car,37,none,own,1,highly_skilled,1,no,yes,good
no_checking,48,existing_paid,radio_tv,1103,<100,4_to_7yr,3,female,none,4,savings_insurance,37,none,own,1,unskilled_res,2,no,yes,bad
<0,12,existing_paid,education,10209,<100,<1yr,3,female,none,4,car,53,none,own,1,skilled,1,no,yes,bad
no_checking,24,delayed,furniture,900,<100,1_to_4yr,2,male,none,4,real_estate,39,none,own,2,skilled,1,no,yes,bad
0_to_200,12,critical,furniture,395,unknown,<1yr,4,male,none,4,real_estate,19,stores,own,3,highly_skilled,1,yes,yes,bad
0_to_200,6,existing_paid,other,1183,<100,<1yr,4,male,none,2,unknown,40,none,rent,1,highly_skilled,1,no,yes,good
>200,36,all_paid,radio_tv,305,<100,<1yr,2,male,none,2,car,35,none,own,1,highly_skilled,1,no,yes,good
no_checking,24,existing_paid,business,3554,500_to_1000,1_to_4yr,3,male,none,2,unknown,42,none,own,3,highly_skilled,1,no,yes,good
no_checking,12,no_credits,furniture,281,<100,>7yr,1,male,none,4,savings_insurance,38,none,own,1,unskilled_nonres,2,yes,yes,good
<0,12,critical,car_used,1854,<100,1_to_4yr,3,female,none,4,real_estate,37,none,own,1,unskilled_res,2,no,yes,bad
0_to_200,6,existing_paid,furniture,278,<100,1_to_4yr,1,female,none,4,savings_insurance,51,stores,own,1,unskilled_res,1,no,yes,good
0_to_200,48,existing_paid,radio_tv,1355,>1000,<1yr,4,female,none,2,savings_insurance,31,bank,own,1,skilled,2,yes,yes,bad
no_checking,72,existing_paid,car_new,7935,<100,1_to_4yr,4,male,none,4,real_estate,37,none,own,1,skilled,1,yes,yes,good
no_checking,12,critical,car_used,2501,<100,1_to_4yr,3,male,none,3,car,41,none,own,1,highly_skilled,1,no,yes,bad
<0,12,existing_paid,car_new,831,100_to_500,4_to_7yr,3,male,none,1,savings_insurance,36,none,own,1,unskilled_res,1,no,yes,good
no_checking,48,existing_paid,furniture,1757,<100,>7yr,4,male,none,3,real_estate,36,none,own,1,skilled,1,yes,yes,good
0_to_200,60,existing_paid,education,1837,unknown,<1yr,3,male,none,1,savings_insurance,28,none,own,2,highly_skilled,2,no,yes,good
<0,24,existing_paid,car_new,2766,<100,<1yr,2,female,none,3,car,36,none,rent,1,skilled,1,no,yes,good
0_to_200,12,existing_paid,radio_tv,528,<100,1_to_4yr,3,male,none,2,car,20,none,rent,1,unskilled_res,1,no,yes,good
